entry_number,entry_date,description,org_id
113.0,2024-10-17 00:00:00,سلفيه لحياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
114.0,2022-10-10 00:00:00,بنزين للمولد,d5789445-11e3-4ad6-9297-b565216751141
114.0,2024-10-23 00:00:00,سلفيه لحياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
115.0,2024-10-23 00:00:00,سلفيه لحياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
116.0,2022-10-10 00:00:00,ماء للكرافان,d5789445-11e3-4ad6-9297-b565216751141
116.0,2024-10-28 00:00:00,سلفيه لحياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
117.0,2024-10-30 00:00:00,سلفيه لحياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
118.0,2022-10-10 00:00:00,30شكاره بسكوت ( مخزن),d5789445-11e3-4ad6-9297-b565216751141
118.0,2024-12-12 00:00:00,سلفيه لحياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
119.0,2024-12-12 00:00:00,رد سلفيه من حياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
120.0,2022-10-10 00:00:00,عجله البراويطه ,d5789445-11e3-4ad6-9297-b565216751141
120.0,2024-12-18 00:00:00,رد سلفيه من حياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
121.0,2024-12-18 00:00:00,رد سلفيه من حياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
122.0,2022-10-10 00:00:00,طباعه لوحات a0,d5789445-11e3-4ad6-9297-b565216751141
122.0,2025-01-18 00:00:00,رد سلفيه من حياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
123.0,2025-02-08 00:00:00,رد سلفيه من حياه كريمه,d5789445-11e3-4ad6-9297-b565216751141
124.0,2022-10-10 00:00:00,من حساب شركه عز لتوريدات الكهرباء,d5789445-11e3-4ad6-9297-b565216751141
124.0,2025-05-10 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
125.0,2025-05-10 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
126.0,2022-10-10 00:00:00,اجر سياره لختم لوحات من مكتب استشاري بكفر الشيخ,d5789445-11e3-4ad6-9297-b565216751141
126.0,2025-05-12 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
127.0,2025-05-15 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
128.0,2022-10-10 00:00:00,باقي رواتب شهر 9,d5789445-11e3-4ad6-9297-b565216751141
128.0,2025-05-17 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
130.0,2022-10-10 00:00:00,دفعه من مستخلص نجاره علي محمد,d5789445-11e3-4ad6-9297-b565216751141
130.0,2025-06-04 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
132.0,2022-10-10 00:00:00,دفعه من مستخلص نجاره ابراهيم ,d5789445-11e3-4ad6-9297-b565216751141
132.0,2024-06-25 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
134.0,2022-10-10 00:00:00,دفعه من مستخلص الحداده محمد رمضان,d5789445-11e3-4ad6-9297-b565216751141
136.0,2022-10-10 00:00:00,دفعه من مستخلص النجاره منتصر,d5789445-11e3-4ad6-9297-b565216751141
138.0,2022-10-10 00:00:00,دفعه من مستخلص النجاره صبري عبد المعطي,d5789445-11e3-4ad6-9297-b565216751141
140.0,2022-10-10 00:00:00,دفعه من مستخلص نجاره محمدمحمد شحاته,d5789445-11e3-4ad6-9297-b565216751141
142.0,2022-10-10 00:00:00,اجر اربع ايام عماله لم خرده من الموقع وعمل سباكه الحمامات,d5789445-11e3-4ad6-9297-b565216751141
142.0,2023-01-19 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
143.0,2023-01-23 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
144.0,2022-10-10 00:00:00,دفعه من سياره الموقع امير 2,d5789445-11e3-4ad6-9297-b565216751141
144.0,2023-01-26 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
145.0,2023-01-28 00:00:00,سلفيات,d5789445-11e3-4ad6-9297-b565216751141
146.0,2022-10-10 00:00:00,دفعه من مستخلص العزل  علي ,d5789445-11e3-4ad6-9297-b565216751141
146.0,2023-01-02 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
147.0,2023-02-06 00:00:00,رد سلفيات,d5789445-11e3-4ad6-9297-b565216751141
148.0,2022-10-10 00:00:00,اكراميه سكرتر رئيس الجهاز ,d5789445-11e3-4ad6-9297-b565216751141
